id,text,category
1,"The mess food quality is very poor and the kitchen is dirty","Cafeteria"
2,"WiFi not working in my hostel room for 3 days","Wi-Fi / Internet"
3,"The hostel warden is not responding to maintenance requests","Hostel"
4,"Buses are always late and overcrowded during peak hours","Transport"
5,"Professor is not explaining the subject clearly","Academics"
6,"Library books are outdated and WiFi is slow inside library","Library"
7,"Bathroom taps are leaking in the hostel block C","Maintenance"
8,"Security guard misbehaved with a female student at gate","Security"
9,"Exam hall seating is very uncomfortable and cramped","Examination"
10,"Admission office staff is rude and unhelpful","Administration"
11,"The canteen near lab block has unhygienic cooking conditions","Cafeteria"
12,"Internet disconnects every hour during online submission","Wi-Fi / Internet"
13,"Room allocation in new hostel block is unfair","Hostel"
14,"College bus broke down midway and students were stranded","Transport"
15,"Faculty member is not available during office hours","Academics"
16,"Reading room in library is always overcrowded and noisy","Library"
17,"Elevator in academic block is broken since last month","Maintenance"
18,"Unauthorized persons entering campus without check","Security"
19,"Results not published even after 2 months of exams","Examination"
20,"Fee receipt not provided after payment","Administration"
21,"Rice was undercooked and had insects in the dining hall","Cafeteria"
22,"No WiFi connectivity in classroom block 3","Wi-Fi / Internet"
23,"Hot water not available in hostel during winters","Hostel"
24,"Bus pass renewal process is very slow and confusing","Transport"
25,"Syllabus not completed before exam","Academics"
26,"Library fine deducted incorrectly from student account","Library"
27,"Tubelight in corridor is not working since a week","Maintenance"
28,"CCTV cameras in parking area are not functional","Security"
29,"Hall ticket not uploaded on portal before exam","Examination"
30,"Scholarship form rejected without any reason given","Administration"
31,"Mess serves same food daily without any variety","Cafeteria"
32,"Campus WiFi password shared externally causing slow speed","Wi-Fi / Internet"
33,"Hostel curfew timing is too strict and needs revision","Hostel"
34,"Evening bus service cancelled without prior notice","Transport"
35,"Teaching assistant conducting class without preparation","Academics"
36,"Books reserved online not available when came to collect","Library"
37,"Water cooler on 3rd floor is out of order","Maintenance"
38,"Night security does not patrol the girls hostel area","Security"
39,"Grace marks not applied even after medical certificate submission","Examination"
40,"Transfer certificate process taking more than 3 months","Administration"
41,"Stale vegetables served in cafeteria causing food poisoning","Cafeteria"
42,"VPN required to access educational resources but not provided","Wi-Fi / Internet"
43,"Hostel room has cockroaches and rats","Hostel"
44,"Bus driver drives rashly and students feel unsafe","Transport"
45,"Project submission portal crashes during peak hours","Academics"
46,"Library does not have books for new curriculum","Library"
47,"Fan in exam hall not working causing discomfort","Maintenance"
48,"Outsiders gambling inside campus near hostel block","Security"
49,"Re-evaluation result not communicated for 3 months","Examination"
50,"Duplicate fee charged in sem fee structure","Administration"
51,"No drinking water available near sports ground","Maintenance"
52,"WiFi speed is very slow during exam week","Wi-Fi / Internet"
53,"Warden absent from hostel for multiple days","Hostel"
54,"Bus route changed but students not informed","Transport"
55,"Lab practical exam schedule clashes with theory exam","Examination"
56,"College prints wrong name on marksheet","Administration"
57,"Food counter staff serves less quantity to certain students","Cafeteria"
58,"Library printer not working for 2 weeks","Library"
59,"Broken benches in classrooms not replaced","Maintenance"
60,"Unknown persons taking photos of female students on campus","Security"
61,"I love the new cafeteria menu, great improvement","Cafeteria"
62,"Mobile data works fine but campus WiFi is always down","Wi-Fi / Internet"
63,"Hostel facilities have improved significantly this year","Hostel"
64,"Bus driver is very courteous and always on time","Transport"
65,"Professor provided helpful extra classes before exams","Academics"
66,"New library resources are very helpful for research","Library"
67,"Classroom AC is newly installed and working great","Maintenance"
68,"Campus police are very strict and prevent ragging","Security"
69,"Exam results published on time this semester","Examination"
70,"Administration processed my documents very quickly","Administration"
71,"Mess food is good but portions are small","Cafeteria"
72,"Internet speed improved after new router installation","Wi-Fi / Internet"
73,"My hostel room has no cupboard to keep belongings","Hostel"
74,"Campus shuttle service is very convenient for students","Transport"
75,"Teacher gives assignments but never evaluates them","Academics"
76,"Library is not open on Sundays and holidays","Library"
77,"Generator backup not working during power cuts","Maintenance"
78,"Bike parking area is unorganized and insecure","Security"
79,"Internal exam marks not uploaded before university submission","Examination"
80,"No clarity given about the bonafide certificate process","Administration"
81,"Breakfast timing in mess is too early at 6:30 AM","Cafeteria"
82,"Only 2 wifi access points for 500 students in hostel","Wi-Fi / Internet"
83,"Washing machine in hostel block is out of order","Hostel"
84,"Bus schedule conflicts with practical lab timing","Transport"
85,"No feedback mechanism for students to evaluate faculty","Academics"
86,"Very difficult to get books renewed during exam season","Library"
87,"Drainage blocked in hostel bathroom","Maintenance"
88,"Girls facing harassment while walking to hostel at night","Security"
89,"Practical exam conducted without proper equipment","Examination"
90,"College website portal down during important fee deadline","Administration"
91,"Mess is overcrowded during lunch and we wait 30 minutes","Cafeteria"
92,"WiFi login portal expires every hour, very frustrating","Wi-Fi / Internet"
93,"Hostel visitors register not maintained properly","Hostel"
94,"Only one bus for 300 students causing overcrowding","Transport"
95,"Course material not uploaded on LMS despite requests","Academics"
96,"New books requested 6 months ago still not purchased","Library"
97,"Window glass broken in classroom 204 since 2 weeks","Maintenance"
98,"Ragging reported but no action taken by warden","Security"
99,"Supplementary exam fee very high without justification","Examination"
100,"College management unresponsive to parent complaints","Administration"
101,"WiFi is excellent and fast today — great work team","Wi-Fi / Internet"
102,"Hostel rooms are spacious and very clean","Hostel"
103,"I appreciate the punctual bus service this month","Transport"
104,"Brilliant professors who encourage critical thinking","Academics"
105,"Library is well-organized with a good variety of titles","Library"
106,"Amazing food variety in the new cafeteria layout","Cafeteria"
107,"Maintenance team fixed the leaking pipe within hours","Maintenance"
108,"Security personnel are polite and always helpful","Security"
109,"Exam results were accurate and published right on time","Examination"
110,"Administration resolved my NOC request in one day","Administration"
111,"The food in the mess makes us sick every week","Cafeteria"
112,"Hostel wardens are biased and favor certain students","Hostel"
113,"Network drops during online exams causing failed submissions","Wi-Fi / Internet"
114,"Bus breakdown left us stranded for 2 hours in rain","Transport"
115,"Professor reads from slides without any explanation","Academics"
116,"Library closes early at 5 PM which is inconvenient","Library"
117,"Sports room equipment is outdated and broken","Maintenance"
118,"Security guard sleeping on duty at night","Security"
119,"Attendance marked wrong by faculty causing detention","Examination"
120,"Administration refuses to issue migration certificate","Administration"
121,"Smell from garbage near mess is unbearable","Cafeteria"
122,"Hostel has no study room with proper lighting","Hostel"
123,"Campus WiFi blocked YouTube and study video platforms","Wi-Fi / Internet"
124,"Bus stop has no shelter during rain and sun","Transport"
125,"Faculty asked students to buy personal notes for marks","Academics"
126,"Books not returned from library but fine still deducted","Library"
127,"Fire extinguisher in lab is expired and not replaced","Maintenance"
128,"Girls hostel gate locked from inside during emergency drill","Security"
129,"Project viva conducted unfairly with biased marks","Examination"
130,"Degree certificate spelling mistake not corrected in time","Administration"
131,"The new cafeteria layout is very comfortable and clean","Cafeteria"
132,"New fiber optic WiFi is superfast — no complaints","Wi-Fi / Internet"
133,"Hostel renovation finished early and looks beautiful","Hostel"
134,"New AC buses introduced for campus transport — great","Transport"
135,"Lab equipment is modern and well-maintained this year","Academics"
136,"Library extended hours are very helpful during exam week","Library"
137,"Newly painted classrooms with bright lighting — excellent","Maintenance"
138,"Night security patrolling improved our safety confidence","Security"
139,"Grace marks applied properly after medical documentation","Examination"
140,"Scholarship disbursed on time — very grateful","Administration"
141,"Food is cold when served, need better serving system","Cafeteria"
142,"Hostel WiFi password changes daily without notification","Wi-Fi / Internet"
143,"No hot water in common bathroom area since 10 days","Hostel"
144,"Last bus leaves at 5pm, evening students are stranded","Transport"
145,"Elective course not offered despite being in schedule","Academics"
146,"Reference books available only for faculty not students","Library"
147,"Leaking ceiling in classroom 301 during monsoon","Maintenance"
148,"Theft reported in hostel room, no police complaint filed","Security"
149,"Supplementary exam marks not updated in transcript","Examination"
150,"Bonafide certificate takes 15 days — too slow","Administration"
151,"Hostel food lacks nutrition, same dal rice every day","Cafeteria"
152,"No WiFi signal on fifth floor of academic block","Wi-Fi / Internet"
153,"Hostel roommate conflict not resolved by warden","Hostel"
154,"Bus routes don't cover the new residential area","Transport"
155,"Course structure changed mid-semester without notice","Academics"
156,"Library membership renewal not processed in time","Library"
157,"Mosquitoes in hostel room due to stagnant water drain","Maintenance"
158,"CCTV footage not provided despite theft complaint","Security"
159,"Marksheet error found after 3 months post-result","Examination"
160,"Office staff avoids responsibility citing wrong department","Administration"
161,"WiFi connectivity is perfect in all hostel rooms now","Wi-Fi / Internet"
162,"New hostel mattresses are very comfortable","Hostel"
163,"Buses are clean and have GPS tracking — impressive","Transport"
164,"Professors are very supportive and available post class","Academics"
165,"Library app works great for reserving books online","Library"
166,"Cafeteria has introduced healthy South Indian options","Cafeteria"
167,"Tiles on college path replaced — looks professional","Maintenance"
168,"Security briefing to students about campus safety was helpful","Security"
169,"Our exam coordinator resolved our issue same day","Examination"
170,"Administration portal is now very user friendly","Administration"
171,"Mess charges increased but food quality decreased","Cafeteria"
172,"Internet goes down every night between 9 to 11 PM","Wi-Fi / Internet"
173,"Hostel complaint register not maintained by warden","Hostel"
174,"Drivers using mobile phone while driving college bus","Transport"
175,"Faculty marks attendance for absent students illegally","Academics"
176,"Library does not allow reference books to be issued","Library"
177,"Power backup failed during exam causing data loss","Maintenance"
178,"Ragging incident hushed up by senior hostel staff","Security"
179,"Practicals not conducted in scheduled lab slots","Examination"
180,"College document issued has wrong university seal","Administration"
181,"Serving sizes in cafeteria are too small for students","Cafeteria"
182,"College blocks social media and entertainment sites on WiFi","Wi-Fi / Internet"
183,"Hostel room paint is peeling and walls have fungus","Hostel"
184,"Bus pass facility not extended to part-time students","Transport"
185,"Practical record submission date announced 2 days before","Academics"
